Day/Month/Year,BusStop,Pasengers
จันทร์ที่ 11 กรกฎาคม 2565,ETC office ,604
จันทร์ที่ 11 กรกฎาคม 2565,Building A Gate 6,84
อังคารที่ 12 กรกฎาคม 2565,7-Eleven Stop,807
อังคารที่ 12 กรกฎาคม 2565,ETC office ,634
อังคารที่ 12 กรกฎาคม 2565,Building A Gate 6,76
จันทร์ที่ 18 กรกฎาคม 2565,7-Eleven Stop,776
จันทร์ที่ 18 กรกฎาคม 2565,ETC office ,630
จันทร์ที่ 18 กรกฎาคม 2565,Building A Gate 6,89
อังคารที่ 19 กรกฎาคม 2565,7-Eleven Stop,825
อังคารที่ 19 กรกฎาคม 2565,ETC office ,600
อังคารที่ 19 กรกฎาคม 2565,Building A Gate 6,94
พุธที่ 20 กรกฎาคม 2565,7-Eleven Stop,841
พุธที่ 20 กรกฎาคม 2565,ETC office ,663
พุธที่ 20 กรกฎาคม 2565,Building A Gate 6,77
พฤหัสบดีที่ 21 กรกฎาคม 2565,7-Eleven Stop,698
พฤหัสบดีที่ 21 กรกฎาคม 2565,ETC office ,593
พฤหัสบดีที่ 21 กรกฎาคม 2565,Building A Gate 6,89
ศุกร์ที่ 22 กรกฎาคม 2565,7-Eleven Stop,781
ศุกร์ที่ 22 กรกฎาคม 2565,ETC office ,569
ศุกร์ที่ 22 กรกฎาคม 2565,Building A Gate 6,91
จันทร์ที่ 25 กรกฎาคม 2565,7-Eleven Stop,791
จันทร์ที่ 25 กรกฎาคม 2565,ETC office ,610
จันทร์ที่ 25 กรกฎาคม 2565,Building A Gate 6,89
อังคารที่ 26 กรกฎาคม 2565,7-Eleven Stop,730
อังคารที่ 26 กรกฎาคม 2565,ETC office ,505
อังคารที่ 26 กรกฎาคม 2565,Building A Gate 6,98
พุธที่ 27 กรกฎาคม 2565,7-Eleven Stop,811
พุธที่ 27 กรกฎาคม 2565,ETC office ,601
พุธที่ 27 กรกฎาคม 2565,Building A Gate 6,78
จันทร์ที่ 1 สิงหาคม 2565,7-Eleven Stop,815
จันทร์ที่ 1 สิงหาคม 2565,ETC office ,683
จันทร์ที่ 1 สิงหาคม 2565,Building A Gate 6,119
อังคารที่ 2 สิงหาคม 2565,7-Eleven Stop,775
อังคารที่ 2 สิงหาคม 2565,ETC office ,729
อังคารที่ 2 สิงหาคม 2565,Building A Gate 6,127
พุธที่ 3 สิงหาคม 2565,7-Eleven Stop,835
พุธที่ 3 สิงหาคม 2565,ETC office ,597
พุธที่ 3 สิงหาคม 2565,Building A Gate 6,69
พฤหัสบดีที่ 4 สิงหาคม 2565,7-Eleven Stop,899
พฤหัสบดีที่ 4 สิงหาคม 2565,ETC office ,654
พฤหัสบดีที่ 4 สิงหาคม 2565,Building A Gate 6,92
ศุกร์ที่ 5 สิงหาคม 2565,7-Eleven Stop,818
ศุกร์ที่ 5 สิงหาคม 2565,ETC office ,608
